x	y	car_pre_inf
505267	2124597	5.413531035
505367	2124597	5.421850325
505467	2124597	5.430214657
505567	2124597	5.438623868
505667	2124597	5.447077795
505767	2124597	5.455576276
505867	2124597	5.464119146
505967	2124597	5.472706243
506067	2124597	5.481337403
506167	2124597	5.490012464
506267	2124597	5.498731262
506367	2124597	5.507493634
506467	2124597	5.516299417
502667	2124697	5.197992183
502767	2124697	5.205102061
502867	2124697	5.212261244
502967	2124697	5.219469572
503067	2124697	5.226726885
503167	2124697	5.234033025
503267	2124697	5.241387831
503367	2124697	5.248791144
503467	2124697	5.256242803
503567	2124697	5.263742648
503667	2124697	5.271290517
503767	2124697	5.278886251
503867	2124697	5.286529687
503967	2124697	5.294220664
504067	2124697	5.30195902
504167	2124697	5.309744594
504267	2124697	5.317577223
504367	2124697	5.325456746
504467	2124697	5.333382999
504567	2124697	5.341355821
504667	2124697	5.349375048
504767	2124697	5.357440517
504867	2124697	5.365552067
504967	2124697	5.373709532
505067	2124697	5.381912751
505167	2124697	5.390161559
505267	2124697	5.398455794
505367	2124697	5.406795291
505467	2124697	5.415179888
505567	2124697	5.42360942
505667	2124697	5.432083723
505767	2124697	5.440602634
505867	2124697	5.449165989
505967	2124697	5.457773623
506067	2124697	5.466425373
506167	2124697	5.475121075
506267	2124697	5.483860565
506367	2124697	5.492643677
506467	2124697	5.50147025
502367	2124797	5.16134396
502467	2124797	5.168323208
502567	2124797	5.175352319
502667	2124797	5.182431132
502767	2124797	5.189559488
502867	2124797	5.196737229
502967	2124797	5.203964195
503067	2124797	5.211240225
503167	2124797	5.218565159
503267	2124797	5.225938836
503367	2124797	5.233361095
503467	2124797	5.240831775
503567	2124797	5.248350715
503667	2124797	5.255917753
503767	2124797	5.263532727
503867	2124797	5.271195474
503967	2124797	5.278905833
504067	2124797	5.286663641
504167	2124797	5.294468735
504267	2124797	5.302320952
504367	2124797	5.310220128
504467	2124797	5.318166102
504567	2124797	5.326158708
504667	2124797	5.334197784
504767	2124797	5.342283166
504867	2124797	5.35041469
504967	2124797	5.358592191
505067	2124797	5.366815507
505167	2124797	5.375084471
505267	2124797	5.383398921
505367	2124797	5.391758692
505467	2124797	5.400163618
505567	2124797	5.408613537
505667	2124797	5.417108282
505767	2124797	5.425647689
505867	2124797	5.434231594
505967	2124797	5.442859831
506067	2124797	5.451532236
506167	2124797	5.460248644
506267	2124797	5.46900889
506367	2124797	5.477812808
506467	2124797	5.486660235
502267	2124897	5.138797097
502367	2124897	5.145744538
502467	2124897	5.152742084
502567	2124897	5.159789574
502667	2124897	5.16688685
502767	2124897	5.174033752
502867	2124897	5.181230117
502967	2124897	5.188475787
503067	2124897	5.1957706
503167	2124897	5.203114394
503267	2124897	5.210507008
503367	2124897	5.21794828
503467	2124897	5.225438048
503567	2124897	5.23297615
503667	2124897	5.240562423
503767	2124897	5.248196703
503867	2124897	5.255878829
503967	2124897	5.263608636
504067	2124897	5.271385962
504167	2124897	5.279210642
504267	2124897	5.287082513
504367	2124897	5.29500141
504467	2124897	5.30296717
504567	2124897	5.310979628
504667	2124897	5.31903862
504767	2124897	5.32714398
504867	2124897	5.335295544
504967	2124897	5.343493148
505067	2124897	5.351736626
505167	2124897	5.360025813
505267	2124897	5.368360544
505367	2124897	5.376740654
505467	2124897	5.385165976
505567	2124897	5.393636347
505667	2124897	5.4021516
505767	2124897	5.410711569
505867	2124897	5.419316089
505967	2124897	5.427964995
506067	2124897	5.43665812
506167	2124897	5.445395299
506267	2124897	5.454176366
506367	2124897	5.463001156
502167	2124997	5.11628072
502267	2124997	5.123196092
502367	2124997	5.130161813
502467	2124997	5.137177722
502567	2124997	5.14424366
502667	2124997	5.151359465
502767	2124997	5.158524977
502867	2124997	5.165740034
502967	2124997	5.173004474
503067	2124997	5.180318136
503167	2124997	5.187680857
503267	2124997	5.195092475
503367	2124997	5.202552827
503467	2124997	5.21006175
503567	2124997	5.21761908
