x	y	coe_com_sup
503167	2124697	0.802082487
503267	2124697	0.797975579
503367	2124697	0.793878581
503467	2124697	0.789792577
503567	2124697	0.785718646
503667	2124697	0.781657865
503767	2124697	0.777611303
503867	2124697	0.773580027
503967	2124697	0.769565096
504067	2124697	0.765567564
504167	2124697	0.761588477
504267	2124697	0.757628874
504367	2124697	0.753689783
504467	2124697	0.749772228
504567	2124697	0.74587722
504667	2124697	0.742005759
504767	2124697	0.738158838
504867	2124697	0.734337434
504967	2124697	0.730542517
505067	2124697	0.726775039
505167	2124697	0.723035943
505267	2124697	0.719326156
505367	2124697	0.71564659
505467	2124697	0.711998145
505567	2124697	0.7083817
505667	2124697	0.704798123
505767	2124697	0.701248262
505867	2124697	0.697732949
505967	2124697	0.694252995
506067	2124697	0.690809198
506167	2124697	0.687402331
506267	2124697	0.684033151
506367	2124697	0.680702394
506467	2124697	0.677410776
502367	2124797	0.837471208
502467	2124797	0.833271446
502567	2124797	0.829072878
502667	2124797	0.824876613
502767	2124797	0.820683764
502867	2124797	0.816495442
502967	2124797	0.812312759
503067	2124797	0.808136825
503167	2124797	0.803968751
503267	2124797	0.799809643
503367	2124797	0.795660607
503467	2124797	0.791522746
503567	2124797	0.787397158
503667	2124797	0.783284938
503767	2124797	0.779187177
503867	2124797	0.77510496
503967	2124797	0.771039365
504067	2124797	0.766991466
504167	2124797	0.762962327
504267	2124797	0.758953006
504367	2124797	0.754964554
504467	2124797	0.75099801
504567	2124797	0.747054405
504667	2124797	0.743134759
504767	2124797	0.739240083
504867	2124797	0.735371374
504967	2124797	0.731529617
505067	2124797	0.727715786
505167	2124797	0.72393084
505267	2124797	0.720175723
505367	2124797	0.716451368
505467	2124797	0.712758687
505567	2124797	0.70909858
505667	2124797	0.70547193
505767	2124797	0.701879601
505867	2124797	0.698322441
505967	2124797	0.694801277
506067	2124797	0.69131692
506167	2124797	0.687870159
506267	2124797	0.684461765
506367	2124797	0.681092487
506467	2124797	0.677763053
502267	2124897	0.844053084
502367	2124897	0.839799752
502467	2124897	0.835546498
502567	2124897	0.831294447
502667	2124897	0.827044729
502767	2124897	0.822798474
502867	2124897	0.818556813
502967	2124897	0.814320876
503067	2124897	0.810091793
503167	2124897	0.805870692
503267	2124897	0.8016587
503367	2124897	0.797456943
503467	2124897	0.793266542
503567	2124897	0.789088616
503667	2124897	0.784924279
503767	2124897	0.780774641
503867	2124897	0.776640807
503967	2124897	0.772523875
504067	2124897	0.768424939
504167	2124897	0.764345083
504267	2124897	0.760285386
504367	2124897	0.756246915
504467	2124897	0.752230732
504567	2124897	0.748237885
504667	2124897	0.744269416
504767	2124897	0.740326354
504867	2124897	0.736409714
504967	2124897	0.732520502
505067	2124897	0.728659709
505167	2124897	0.724828313
505267	2124897	0.721027277
505367	2124897	0.71725755
505467	2124897	0.713520064
505567	2124897	0.709815736
505667	2124897	0.706145464
505767	2124897	0.70251013
505867	2124897	0.698910597
505967	2124897	0.69534771
506067	2124897	0.691822294
506167	2124897	0.688335153
506267	2124897	0.684887072
506367	2124897	0.681478814
502167	2124997	0.850763616
502267	2124997	0.846457198
502367	2124997	0.842149701
502467	2124997	0.837842271
502567	2124997	0.833536053
502667	2124997	0.829232195
502767	2124997	0.824931845
502867	2124997	0.820636153
502967	2124997	0.81634627
503067	2124997	0.812063343
503167	2124997	0.807788522
503267	2124997	0.803522953
503367	2124997	0.79926778
503467	2124997	0.795024146
503567	2124997	0.790793189
503667	2124997	0.786576043
503767	2124997	0.782373839
503867	2124997	0.778187702
503967	2124997	0.774018751
504067	2124997	0.769868098
504167	2124997	0.765736849
504267	2124997	0.761626102
504367	2124997	0.757536946
504467	2124997	0.753470461
504567	2124997	0.749427718
504667	2124997	0.745409776
504767	2124997	0.741417684
504867	2124997	0.737452478
504967	2124997	0.733515183
505067	2124997	0.729606809
505167	2124997	0.725728353
505267	2124997	0.721880797
505367	2124997	0.718065108
505467	2124997	0.714282236
505567	2124997	0.710533115
505667	2124997	0.706818663
505767	2124997	0.703139777
505867	2124997	0.699497338
505967	2124997	0.695892206
506067	2124997	0.692325222
506167	2124997	0.688797206
506267	2124997	0.685308957
506367	2124997	0.681861254
502067	2125097	0.857603909
502167	2125097	0.85324494
502267	2125097	0.848883701
502367	2125097	0.844521352
502467	2125097	0.840159055
502567	2125097	0.835797975
502667	2125097	0.831439279
502767	2125097	0.827084135
502867	2125097	0.822733712
502967	2125097	0.818389179
503067	2125097	0.814051705
503167	2125097	0.809722459
503267	2125097	0.805402607
503367	2125097	0.801093314
503467	2125097	0.796795743
503567	2125097	0.792511051
503667	2125097	0.788240395
503767	2125097	0.783984925
503867	2125097	0.779745787
503967	2125097	0.775524121
504067	2125097	0.77132106
504167	2125097	0.76713773
504267	2125097	0.762975251
504367	2125097	0.758834731
504467	2125097	0.754717272
504567	2125097	0.750623964
504667	2125097	0.746555888
504767	2125097	0.742514112
504867	2125097	0.738499693
504967	2125097	0.734513676
505067	2125097	0.730557091
505167	2125097	0.726630953
505267	2125097	0.722736265
505367	2125097	0.718874011
505467	2125097	0.715045162
505567	2125097	0.71125067
505667	2125097	0.707491468
505767	2125097	0.703768474
505867	2125097	0.700082584
505967	2125097	0.696434676
506067	2125097	0.692825607
506167	2125097	0.689256212
506267	2125097	0.685727306
506367	2125097	0.682239681
501967	2125197	0.86457502
502067	2125197	0.860164091
502167	2125197	0.855749662
502267	2125197	0.851332908
502367	2125197	0.846915009
502467	2125197	0.842497144
502567	2125197	0.838080498
502667	2125197	0.833666258
502767	2125197	0.829255611
502867	2125197	0.824849745
502967	2125197	0.82044985
503067	2125197	0.816057115
503167	2125197	0.811672729
503267	2125197	0.807297879
503367	2125197	0.80293375
503467	2125197	0.798581525
503567	2125197	0.794242385
503667	2125197	0.789917506
503767	2125197	0.785608058
503867	2125197	0.781315211
503967	2125197	0.777040123
504067	2125197	0.77278395
504167	2125197	0.76854784
504267	2125197	0.764332933
504367	2125197	0.760140359
504467	2125197	0.75597124
504567	2125197	0.751826688
504667	2125197	0.747707805
504767	2125197	0.74361568
504867	2125197	0.73955139
504967	2125197	0.735516
505067	2125197	0.731510561
505167	2125197	0.727536109
505267	2125197	0.723593666
505367	2125197	0.719684235
505467	2125197	0.715808806
505567	2125197	0.711968351
505667	2125197	0.708163821
505767	2125197	0.704396151
505867	2125197	0.700666257
505967	2125197	0.696975032
506067	2125197	0.69332335
506167	2125197	0.689712063
506267	2125197	0.686142002
501867	2125297	0.871677951
501967	2125297	0.867215708
502067	2125297	0.862748699
502167	2125297	0.858278113
502267	2125297	0.853805143
502367	2125297	0.849330986
502467	2125297	0.844856844
502567	2125297	0.840383919
502667	2125297	0.835913418
502767	2125297	0.831446548
502867	2125297	0.826984518
502967	2125297	0.822528538
503067	2125297	0.818079817
503167	2125297	0.813639565
503267	2125297	0.80920899
503367	2125297	0.804789298
503467	2125297	0.800381694
503567	2125297	0.79598738
503667	2125297	0.791607552
503767	2125297	0.787243404
503867	2125297	0.782896125
503967	2125297	0.778566898
504067	2125297	0.774256899
504167	2125297	0.769967297
504267	2125297	0.765699254
504367	2125297	0.761453923
504467	2125297	0.757232447
504567	2125297	0.753035961
504667	2125297	0.748865585
504767	2125297	0.744722433
504867	2125297	0.740607601
504967	2125297	0.736522177
505067	2125297	0.732467231
505167	2125297	0.72844382
505267	2125297	0.724452986
505367	2125297	0.720495754
505467	2125297	0.716573133
505567	2125297	0.712686112
505667	2125297	0.708835664
505767	2125297	0.705022741
505867	2125297	0.701248278
505967	2125297	0.697513185
506067	2125297	0.693818353
506167	2125297	0.690164653
506267	2125297	0.686552929
501767	2125397	0.878913651
501867	2125397	0.874400799
501967	2125397	0.869881876
502067	2125397	0.865358085
502167	2125397	0.860830634
502267	2125397	0.856300736
502367	2125397	0.851769607
502467	2125397	0.847238468
502567	2125397	0.842708541
502667	2125397	0.838181053
502767	2125397	0.833657231
502867	2125397	0.829138306
502967	2125397	0.824625506
503067	2125397	0.820120064
503167	2125397	0.815623209
503267	2125397	0.811136171
503367	2125397	0.806660179
503467	2125397	0.802196458
503567	2125397	0.797746231
503667	2125397	0.793310718
503767	2125397	0.788891135
503867	2125397	0.784488693
503967	2125397	0.780104595
504067	2125397	0.775740042
504167	2125397	0.771396225
504267	2125397	0.767074327
504367	2125397	0.762775524
504467	2125397	0.758500982
504567	2125397	0.754251857
504667	2125397	0.750029292
504767	2125397	0.745834422
504867	2125397	0.741668366
504967	2125397	0.737532232
505067	2125397	0.733427113
505167	2125397	0.729354087
505267	2125397	0.725314216
505367	2125397	0.721308547
505467	2125397	0.717338107
505567	2125397	0.713403908
505667	2125397	0.709506941
505767	2125397	0.705648177
505867	2125397	0.701828569
505967	2125397	0.698049047
506067	2125397	0.69431052
506167	2125397	0.690613873
506267	2125397	0.686959971
501667	2125497	0.886283012
501767	2125497	0.881720312
501867	2125497	0.877150199
501967	2125497	0.87257389
502067	2125497	0.867992607
502167	2125497	0.863407577
502267	2125497	0.85882003
502367	2125497	0.854231204
502467	2125497	0.849642339
502567	2125497	0.845054678
502667	2125497	0.840469466
502767	2125497	0.835887954
502867	2125497	0.83131139
502967	2125497	0.826741027
503067	2125497	0.822178117
503167	2125497	0.817623911
503267	2125497	0.813079662
503367	2125497	0.808546619
503467	2125497	0.804026031
503567	2125497	0.799519143
503667	2125497	0.795027197
503767	2125497	0.790551432
503867	2125497	0.78609308
503967	2125497	0.78165337
504067	2125497	0.777233523
504167	2125497	0.772834754
504267	2125497	0.76845827
504367	2125497	0.764105268
504467	2125497	0.759776937
504567	2125497	0.755474456
504667	2125497	0.751198992
504767	2125497	0.746951701
504867	2125497	0.742733725
504967	2125497	0.738546195
505067	2125497	0.734390225
505167	2125497	0.730266915
505267	2125497	0.726177349
505367	2125497	0.722122594
505467	2125497	0.7181037
505567	2125497	0.714121697
505667	2125497	0.710177598
505767	2125497	0.706272394
505867	2125497	0.702407056
505967	2125497	0.698582533
506067	2125497	0.694799752
506167	2125497	0.691059618
501567	2125597	0.893786864
501667	2125597	0.889175136
501767	2125597	0.884554618
501867	2125597	0.879926538
501967	2125597	0.87529213
502067	2125597	0.870652636
502167	2125597	0.866009302
502267	2125597	0.861363378
502367	2125597	0.856716121
502467	2125597	0.852068791
502567	2125597	0.847422652
502667	2125597	0.842778971
502767	2125597	0.838139018
502867	2125597	0.833504064
502967	2125597	0.828875382
503067	2125597	0.824254246
503167	2125597	0.819641931
503267	2125597	0.81503971
503367	2125597	0.810448856
503467	2125597	0.805870639
503567	2125597	0.801306329
503667	2125597	0.796757189
503767	2125597	0.792224482
503867	2125597	0.787709463
503967	2125597	0.783213385
504067	2125597	0.778737492
504167	2125597	0.774283022
504267	2125597	0.769851206
504367	2125597	0.765443264
504467	2125597	0.76106041
504567	2125597	0.756703844
504667	2125597	0.752374758
504767	2125597	0.74807433
504867	2125597	0.743803727
504967	2125597	0.7395641
505067	2125597	0.735356588
505167	2125597	0.731182312
505267	2125597	0.727042379
505367	2125597	0.722937879
505467	2125597	0.718869881
505567	2125597	0.714839438
505667	2125597	0.710847582
505767	2125597	0.706895327
505867	2125597	0.702983661
505967	2125597	0.699113555
506067	2125597	0.695285954
506167	2125597	0.69150178
501467	2125697	0.901425973
501567	2125697	0.896766098
501667	2125697	0.892096019
501767	2125697	0.887416974
501867	2125697	0.882730212
501967	2125697	0.878036984
502067	2125697	0.873338552
502167	2125697	0.86863618
502267	2125697	0.863931141
502367	2125697	0.859224709
502467	2125697	0.854518167
502567	2125697	0.849812798
502667	2125697	0.845109891
502767	2125697	0.840410737
502867	2125697	0.835716629
502967	2125697	0.831028862
503067	2125697	0.826348733
503167	2125697	0.821677537
503267	2125697	0.817016573
503367	2125697	0.812367134
503467	2125697	0.807730515
503567	2125697	0.803108008
503667	2125697	0.798500902
503767	2125697	0.793910481
503867	2125697	0.789338026
503967	2125697	0.784784811
504067	2125697	0.780252107
504167	2125697	0.775741174
504267	2125697	0.771253267
504367	2125697	0.766789632
504467	2125697	0.762351505
504567	2125697	0.757940112
504667	2125697	0.753556667
504767	2125697	0.749202374
504867	2125697	0.744878421
504967	2125697	0.740585985
505067	2125697	0.736326226
505167	2125697	0.732100291
505267	2125697	0.727909307
505367	2125697	0.723754387
505467	2125697	0.719636624
505567	2125697	0.715557092
505667	2125697	0.711516844
505767	2125697	0.707516914
505867	2125697	0.703558312
505967	2125697	0.699642029
506067	2125697	0.695769029
506167	2125697	0.691940252
501367	2125797	0.909201042
501467	2125797	0.90449396
501567	2125797	0.899775224
501667	2125797	0.895046084
501767	2125797	0.890307797
501867	2125797	0.885561628
501967	2125797	0.880808851
502067	2125797	0.876050745
502167	2125797	0.871288594
502267	2125797	0.866523692
502367	2125797	0.861757333
502467	2125797	0.85699082
502567	2125797	0.852225459
502667	2125797	0.847462559
502767	2125797	0.842703434
502867	2125797	0.837949398
502967	2125797	0.833201769
503067	2125797	0.828461866
503167	2125797	0.823731008
503267	2125797	0.819010516
503367	2125797	0.814301708
503467	2125797	0.809605901
503567	2125797	0.804924412
503667	2125797	0.800258554
503767	2125797	0.795609634
503867	2125797	0.790978958
503967	2125797	0.786367826
504067	2125797	0.781777531
504167	2125797	0.77720936
504267	2125797	0.772664592
504367	2125797	0.768144496
504467	2125797	0.763650335
504567	2125797	0.759183358
504667	2125797	0.754744805
504767	2125797	0.750335902
504867	2125797	0.745957865
504967	2125797	0.741611893
505067	2125797	0.73729917
505167	2125797	0.733020867
505267	2125797	0.728778135
505367	2125797	0.72457211
505467	2125797	0.720403907
505567	2125797	0.716274623
505667	2125797	0.712185334
505767	2125797	0.708137094
505867	2125797	0.704130937
505967	2125797	0.700167871
506067	2125797	0.696248881
506167	2125797	0.692374929
501367	2125897	0.912359416
501467	2125897	0.90759299
501567	2125897	0.902814684
501667	2125897	0.898025766
501767	2125897	0.893227512
501867	2125897	0.888421207
501967	2125897	0.883608142
