x	y	coe_com_inf
501967	2125497	2.244122205
502067	2125497	2.248249382
502167	2125497	2.252391468
502267	2125497	2.256548381
502367	2125497	2.260720038
502467	2125497	2.26490636
502567	2125497	2.269107264
502667	2125497	2.27332267
502767	2125497	2.277552498
502867	2125497	2.281796667
502967	2125497	2.286055098
503067	2125497	2.290327711
503167	2125497	2.294614427
503267	2125497	2.298915166
503367	2125497	2.303229851
503467	2125497	2.307558403
503567	2125497	2.311900744
503667	2125497	2.316256797
503767	2125497	2.320626483
503867	2125497	2.325009727
503967	2125497	2.329406452
504067	2125497	2.33381658
504167	2125497	2.338240037
504267	2125497	2.342676747
504367	2125497	2.347126634
504467	2125497	2.351589624
504567	2125497	2.356065641
504667	2125497	2.360554612
504767	2125497	2.365056463
504867	2125497	2.369571119
504967	2125497	2.374098509
505067	2125497	2.378638559
505167	2125497	2.383191196
505267	2125497	2.387756349
505367	2125497	2.392333945
505467	2125497	2.396923913
505567	2125497	2.401526183
505667	2125497	2.406140682
505767	2125497	2.410767342
505867	2125497	2.415406091
505967	2125497	2.420056861
506067	2125497	2.424719581
506167	2125497	2.429394183
501567	2125597	2.222042459
501667	2125597	2.226119541
501767	2125597	2.230211864
501867	2125597	2.234319345
501967	2125597	2.238441901
502067	2125597	2.242579448
502167	2125597	2.246731904
502267	2125597	2.250899187
502367	2125597	2.255081214
502467	2125597	2.259277904
502567	2125597	2.263489176
502667	2125597	2.267714947
502767	2125597	2.271955138
502867	2125597	2.276209668
502967	2125597	2.280478456
503067	2125597	2.284761423
503167	2125597	2.289058488
503267	2125597	2.293369574
503367	2125597	2.2976946
503467	2125597	2.302033488
503567	2125597	2.30638616
503667	2125597	2.310752537
503767	2125597	2.315132543
503867	2125597	2.319526099
503967	2125597	2.32393313
504067	2125597	2.328353557
504167	2125597	2.332787306
504267	2125597	2.337234299
504367	2125597	2.341694462
504467	2125597	2.346167718
504567	2125597	2.350653994
504667	2125597	2.355153215
504767	2125597	2.359665306
504867	2125597	2.364190193
504967	2125597	2.368727803
505067	2125597	2.373278063
505167	2125597	2.377840901
505267	2125597	2.382416243
505367	2125597	2.387004017
505467	2125597	2.391604152
505567	2125597	2.396216577
505667	2125597	2.40084122
505767	2125597	2.405478011
505867	2125597	2.410126879
505967	2125597	2.414787755
506067	2125597	2.419460569
506167	2125597	2.424145252
501467	2125697	2.212256657
501567	2125697	2.216328815
501667	2125697	2.2204163
501767	2125697	2.224519028
501867	2125697	2.228636915
501967	2125697	2.232769877
502067	2125697	2.236917832
502167	2125697	2.241080695
502267	2125697	2.245258385
502367	2125697	2.249450818
502467	2125697	2.253657913
502567	2125697	2.257879587
502667	2125697	2.262115759
502767	2125697	2.266366348
502867	2125697	2.270631273
502967	2125697	2.274910453
503067	2125697	2.279203808
503167	2125697	2.283511258
503267	2125697	2.287832723
503367	2125697	2.292168123
503467	2125697	2.296517381
503567	2125697	2.300880416
503667	2125697	2.305257151
503767	2125697	2.309647508
503867	2125697	2.31405141
503967	2125697	2.318468778
504067	2125697	2.322899535
504167	2125697	2.327343606
504267	2125697	2.331800914
504367	2125697	2.336271383
504467	2125697	2.340754937
504567	2125697	2.345251501
504667	2125697	2.349761
504767	2125697	2.354283361
504867	2125697	2.358818508
504967	2125697	2.363366367
505067	2125697	2.367926866
505167	2125697	2.372499931
505267	2125697	2.37708549
505367	2125697	2.38168347
505467	2125697	2.386293799
505567	2125697	2.390916406
505667	2125697	2.395551219
505767	2125697	2.400198168
505867	2125697	2.404857181
505967	2125697	2.40952819
506067	2125697	2.414211123
506167	2125697	2.418905911
501367	2125797	2.202473584
501467	2125797	2.206540767
501567	2125797	2.210623363
501667	2125797	2.21472129
501767	2125797	2.21883446
501867	2125797	2.222962791
501967	2125797	2.227106197
502067	2125797	2.231264596
502167	2125797	2.235437904
502267	2125797	2.239626037
502367	2125797	2.243828913
502467	2125797	2.248046448
502567	2125797	2.252278561
502667	2125797	2.25652517
502767	2125797	2.260786192
502867	2125797	2.265061547
502967	2125797	2.269351154
503067	2125797	2.273654931
503167	2125797	2.277972799
503267	2125797	2.282304677
503367	2125797	2.286650485
503467	2125797	2.291010145
503567	2125797	2.295383577
503667	2125797	2.299770703
503767	2125797	2.304171444
503867	2125797	2.308585721
503967	2125797	2.313013458
504067	2125797	2.317454578
504167	2125797	2.321909002
504267	2125797	2.326376655
504367	2125797	2.33085746
504467	2125797	2.335351342
504567	2125797	2.339858224
504667	2125797	2.344378032
504767	2125797	2.348910691
504867	2125797	2.353456126
504967	2125797	2.358014264
505067	2125797	2.36258503
505167	2125797	2.367168351
505267	2125797	2.371764155
505367	2125797	2.376372368
505467	2125797	2.380992918
505567	2125797	2.385625734
505667	2125797	2.390270744
505767	2125797	2.394927876
505867	2125797	2.399597061
505967	2125797	2.404278227
506067	2125797	2.408971304
506167	2125797	2.413676224
501367	2125897	2.196755434
501467	2125897	2.200833092
501567	2125897	2.204926167
501667	2125897	2.209034573
501767	2125897	2.213158224
501867	2125897	2.217297036
501967	2125897	2.221450925
502067	2125897	2.225619805
502167	2125897	2.229803594
502267	2125897	2.234002207
502367	2125897	2.238215562
502467	2125897	2.242443574
502567	2125897	2.246686162
502667	2125897	2.250943242
502767	2125897	2.255214733
502867	2125897	2.259500553
502967	2125897	2.263800621
503067	2125897	2.268114855
503167	2125897	2.272443175
503267	2125897	2.2767855
503367	2125897	2.28114175
503467	2125897	2.285511846
503567	2125897	2.289895707
503667	2125897	2.294293256
503767	2125897	2.298704412
503867	2125897	2.303129098
503967	2125897	2.307567236
504067	2125897	2.312018749
504167	2125897	2.316483557
504267	2125897	2.320961586
504367	2125897	2.325452758
504467	2125897	2.329956998
504567	2125897	2.334474228
504667	2125897	2.339004374
504767	2125897	2.343547361
504867	2125897	2.348103113
504967	2125897	2.352671558
505067	2125897	2.357252619
505167	2125897	2.361846224
505267	2125897	2.3664523
505367	2125897	2.371070774
505467	2125897	2.375701572
505567	2125897	2.380344624
505667	2125897	2.384999857
505767	2125897	2.389667199
505867	2125897	2.394346581
505967	2125897	2.39903793
506067	2125897	2.403741177
506167	2125897	2.408456253
501267	2125997	2.186972857
501367	2125997	2.191045525
501467	2125997	2.195133698
501567	2125997	2.19923729
501667	2125997	2.203356213
501767	2125997	2.207490384
501867	2125997	2.211639715
501967	2125997	2.215804123
502067	2125997	2.219983523
502167	2125997	2.22417783
502267	2125997	2.22838696
502367	2125997	2.23261083
502467	2125997	2.236849355
502567	2125997	2.241102453
502667	2125997	2.245370041
502767	2125997	2.249652036
502867	2125997	2.253948357
502967	2125997	2.25825892
503067	2125997	2.262583646
503167	2125997	2.266922452
503267	2125997	2.271275257
503367	2125997	2.275641983
503467	2125997	2.280022547
503567	2125997	2.284416871
503667	2125997	2.288824874
503767	2125997	2.293246479
503867	2125997	2.297681606
503967	2125997	2.302130176
504067	2125997	2.306592112
504167	2125997	2.311067337
504267	2125997	2.315555772
504367	2125997	2.320057342
504467	2125997	2.324571969
504567	2125997	2.329099577
504667	2125997	2.33364009
504767	2125997	2.338193434
504867	2125997	2.342759533
504967	2125997	2.347338312
505067	2125997	2.351929697
505167	2125997	2.356533615
505267	2125997	2.36114999
505367	2125997	2.365778752
505467	2125997	2.370419826
505567	2125997	2.37507314
505667	2125997	2.379738622
505767	2125997	2.384416201
505867	2125997	2.389105805
505967	2125997	2.393807363
506067	2125997	2.398520805
501267	2126097	2.181260702
501367	2126097	2.185343922
501467	2126097	2.189442649
501567	2126097	2.193556796
501667	2126097	2.197686276
501767	2126097	2.201831003
501867	2126097	2.205990893
501967	2126097	2.210165858
502067	2126097	2.214355814
502167	2126097	2.218560677
502267	2126097	2.222780361
502367	2126097	2.227014782
502467	2126097	2.231263856
502567	2126097	2.235527501
502667	2126097	2.239805632
502767	2126097	2.244098166
502867	2126097	2.248405022
502967	2126097	2.252726116
503067	2126097	2.257061367
503167	2126097	2.261410693
503267	2126097	2.265774014
503367	2126097	2.270151247
503467	2126097	2.274542313
503567	2126097	2.278947132
503667	2126097	2.283365624
503767	2126097	2.287797709
503867	2126097	2.292243308
503967	2126097	2.296702342
504067	2126097	2.301174734
504167	2126097	2.305660405
504267	2126097	2.310159278
504367	2126097	2.314671275
504467	2126097	2.31919632
504567	2126097	2.323734335
504667	2126097	2.328285246
504767	2126097	2.332848976
504867	2126097	2.33742545
504967	2126097	2.342014592
505067	2126097	2.346616329
505167	2126097	2.351230586
505267	2126097	2.35585729
505367	2126097	2.360496366
505467	2126097	2.365147742
505567	2126097	2.369811345
505667	2126097	2.374487103
505767	2126097	2.379174944
505867	2126097	2.383874797
505967	2126097	2.388586589
506067	2126097	2.393310251
501167	2126197	2.171478662
501267	2126197	2.175556878
501367	2126197	2.179650689
501467	2126197	2.183760009
501567	2126197	2.18788475
501667	2126197	2.192024825
501767	2126197	2.196180149
501867	2126197	2.200350633
501967	2126197	2.204536194
502067	2126197	2.208736744
502167	2126197	2.212952199
502267	2126197	2.217182474
502367	2126197	2.221427483
502467	2126197	2.225687143
502567	2126197	2.22996137
502667	2126197	2.234250079
502767	2126197	2.238553189
502867	2126197	2.242870614
502967	2126197	2.247202274
503067	2126197	2.251548085
503167	2126197	2.255907966
503267	2126197	2.260281834
503367	2126197	2.26466961
503467	2126197	2.269071211
503567	2126197	2.273486558
503667	2126197	2.27791557
503767	2126197	2.282358167
503867	2126197	2.286814271
503967	2126197	2.291283801
504067	2126197	2.29576668
504167	2126197	2.300262828
504267	2126197	2.304772169
504367	2126197	2.309294624
504467	2126197	2.313830116
504567	2126197	2.318378569
504667	2126197	2.322939906
504767	2126197	2.327514051
504867	2126197	2.332100929
504967	2126197	2.336700463
505067	2126197	2.34131258
505167	2126197	2.345937205
505267	2126197	2.350574263
505367	2126197	2.355223682
505467	2126197	2.359885387
505567	2126197	2.364559306
505667	2126197	2.369245366
505767	2126197	2.373943495
505867	2126197	2.378653621
505967	2126197	2.383375673
506067	2126197	2.388109581
501067	2126297	2.161699448
501167	2126297	2.165772606
501267	2126297	2.16986145
501367	2126297	2.173965892
501467	2126297	2.178085844
501567	2126297	2.182221218
501667	2126297	2.186371928
501767	2126297	2.190537885
501867	2126297	2.194719003
501967	2126297	2.198915197
502067	2126297	2.203126378
502167	2126297	2.207352463
502267	2126297	2.211593365
502367	2126297	2.215849
502467	2126297	2.220119282
502567	2126297	2.224404127
502667	2126297	2.228703451
502767	2126297	2.23301717
