x	y	car_pre_dur
505267	2124597	6.210556788
505367	2124597	6.220190724
505467	2124597	6.229864234
505567	2124597	6.239577116
505667	2124597	6.249329171
505767	2124597	6.259120202
505867	2124597	6.268950009
505967	2124597	6.278818398
506067	2124597	6.288725172
506167	2124597	6.298670138
506267	2124597	6.308653101
506367	2124597	6.31867387
506467	2124597	6.328732252
502667	2124697	5.958537688
502767	2124697	5.967093964
502867	2124697	5.9756954
502967	2124697	5.984341767
503067	2124697	5.993032838
503167	2124697	6.001768387
503267	2124697	6.01054819
503367	2124697	6.019372023
503467	2124697	6.028239662
503567	2124697	6.037150886
503667	2124697	6.046105474
503767	2124697	6.055103206
503867	2124697	6.064143863
503967	2124697	6.073227228
504067	2124697	6.082353083
504167	2124697	6.091521213
504267	2124697	6.100731403
504367	2124697	6.10998344
504467	2124697	6.11927711
504567	2124697	6.128612203
504667	2124697	6.137988507
504767	2124697	6.147405813
504867	2124697	6.156863913
504967	2124697	6.166362599
505067	2124697	6.175901664
505167	2124697	6.185480904
505267	2124697	6.195100114
505367	2124697	6.20475909
505467	2124697	6.21445763
505567	2124697	6.224195534
505667	2124697	6.2339726
505767	2124697	6.243788631
505867	2124697	6.253643426
505967	2124697	6.26353679
506067	2124697	6.273468526
506167	2124697	6.28343844
506267	2124697	6.293446337
506367	2124697	6.303492023
506467	2124697	6.313575308
502367	2124797	5.916977833
502467	2124797	5.925422246
502567	2124797	5.933912528
502667	2124797	5.942448447
502767	2124797	5.951029771
502867	2124797	5.959656271
502967	2124797	5.968327718
503067	2124797	5.977043883
503167	2124797	5.985804538
503267	2124797	5.994609459
503367	2124797	6.00345842
503467	2124797	6.012351197
503567	2124797	6.021287566
503667	2124797	6.030267307
503767	2124797	6.039290197
503867	2124797	6.048356018
503967	2124797	6.057464549
504067	2124797	6.066615574
504167	2124797	6.075808876
504267	2124797	6.085044239
504367	2124797	6.094321448
504467	2124797	6.103640289
504567	2124797	6.113000551
504667	2124797	6.122402021
504767	2124797	6.131844489
504867	2124797	6.141327746
504967	2124797	6.150851584
505067	2124797	6.160415795
505167	2124797	6.170020172
505267	2124797	6.179664512
505367	2124797	6.189348609
505467	2124797	6.19907226
505567	2124797	6.208835265
505667	2124797	6.21863742
505767	2124797	6.228478528
505867	2124797	6.238358388
505967	2124797	6.248276803
506067	2124797	6.258233577
506167	2124797	6.268228512
506267	2124797	6.278261416
506367	2124797	6.288332093
506467	2124797	6.298440352
502267	2124897	5.892408668
502367	2124897	5.900832058
502467	2124897	5.90930157
502567	2124897	5.917816971
502667	2124897	5.926378026
502767	2124897	5.934984504
502867	2124897	5.943636172
502967	2124897	5.952332802
503067	2124897	5.961074162
503167	2124897	5.969860026
503267	2124897	5.978690165
503367	2124897	5.987564353
503467	2124897	5.996482365
503567	2124897	6.005443978
503667	2124897	6.014448967
503767	2124897	6.023497112
503867	2124897	6.03258819
503967	2124897	6.041721982
504067	2124897	6.05089827
504167	2124897	6.060116835
504267	2124897	6.069377461
504367	2124897	6.078679932
504467	2124897	6.088024033
504567	2124897	6.097409552
504667	2124897	6.106836275
504767	2124897	6.116303992
504867	2124897	6.125812492
504967	2124897	6.135361565
505067	2124897	6.144951005
505167	2124897	6.154580603
505267	2124897	6.164250154
505367	2124897	6.173959452
505467	2124897	6.183708295
505567	2124897	6.193496479
505667	2124897	6.203323802
505767	2124897	6.213190064
505867	2124897	6.223095066
505967	2124897	6.233038607
506067	2124897	6.243020493
506167	2124897	6.253040524
506267	2124897	6.263098507
506367	2124897	6.273194247
502167	2124997	5.867854182
502267	2124997	5.87625638
502367	2124997	5.884704957
502467	2124997	5.893199677
502567	2124997	5.901740303
502667	2124997	5.910326601
502767	2124997	5.918958337
502867	2124997	5.927635279
502967	2124997	5.936357194
503067	2124997	5.945123853
503167	2124997	5.953935025
503267	2124997	5.962790483
503367	2124997	5.971689998
503467	2124997	5.980633344
503567	2124997	5.989620297
503667	2124997	5.998650632
503767	2124997	6.007724126
503867	2124997	6.016840556
503967	2124997	6.025999703
504067	2124997	6.035201345
504167	2124997	6.044445265
504267	2124997	6.053731245
504367	2124997	6.063059068
504467	2124997	6.072428518
504567	2124997	6.081839382
504667	2124997	6.091291445
504767	2124997	6.100784496
504867	2124997	6.110318323
504967	2124997	6.119892717
505067	2124997	6.129507469
505167	2124997	6.13916237
505267	2124997	6.148857213
505367	2124997	6.158591794
505467	2124997	6.168365908
505567	2124997	6.17817935
505667	2124997	6.188031919
505767	2124997	6.197923412
505867	2124997	6.207853631
505967	2124997	6.217822375
506067	2124997	6.227829446
506167	2124997	6.237874647
506267	2124997	6.247957783
506367	2124997	6.258078658
502067	2125097	5.843314522
502167	2125097	5.851695359
502267	2125097	5.860122834
502367	2125097	5.868596709
502467	2125097	5.877116744
502567	2125097	5.885682703
502667	2125097	5.894294351
