x	y	error_car_pre_inf
503167	2124997	0.908970815
503267	2124997	0.909396496
503367	2124997	0.909830951
503467	2124997	0.910274169
503567	2124997	0.910726143
503667	2124997	0.91118686
503767	2124997	0.911656311
503867	2124997	0.912134483
503967	2124997	0.912621367
504067	2124997	0.913116948
504167	2124997	0.913621216
504267	2124997	0.914134157
504367	2124997	0.914655758
504467	2124997	0.915186005
504567	2124997	0.915724884
504667	2124997	0.916272381
504767	2124997	0.916828482
504867	2124997	0.91739317
504967	2124997	0.917966431
505067	2124997	0.918548249
505167	2124997	0.919138607
505267	2124997	0.91973749
505367	2124997	0.92034488
505467	2124997	0.92096076
505567	2124997	0.921585113
505667	2124997	0.922217922
505767	2124997	0.922859168
505867	2124997	0.923508832
505967	2124997	0.924166897
506067	2124997	0.924833344
506167	2124997	0.925508153
506267	2124997	0.926191305
506367	2124997	0.926882781
502067	2125097	0.902494637
502167	2125097	0.902823144
502267	2125097	0.903160541
502367	2125097	0.903506823
502467	2125097	0.903861987
502567	2125097	0.904226027
502667	2125097	0.904598937
502767	2125097	0.904980711
502867	2125097	0.905371342
502967	2125097	0.905770824
503067	2125097	0.906179148
503167	2125097	0.906596305
503267	2125097	0.907022288
503367	2125097	0.907457087
503467	2125097	0.907900692
503567	2125097	0.908353093
503667	2125097	0.908814279
503767	2125097	0.909284239
503867	2125097	0.909762961
503967	2125097	0.910250435
504067	2125097	0.910746646
504167	2125097	0.911251583
504267	2125097	0.911765232
504367	2125097	0.912287579
504467	2125097	0.912818611
504567	2125097	0.913358313
504667	2125097	0.913906671
504767	2125097	0.914463668
504867	2125097	0.915029291
504967	2125097	0.915603523
505067	2125097	0.916186347
505167	2125097	0.916777749
505267	2125097	0.917377709
505367	2125097	0.917986212
505467	2125097	0.91860324
505567	2125097	0.919228776
505667	2125097	0.919862801
505767	2125097	0.920505296
505867	2125097	0.921156244
505967	2125097	0.921815625
506067	2125097	0.922483421
506167	2125097	0.923159611
506267	2125097	0.923844176
506367	2125097	0.924537097
501967	2125197	0.899799636
502067	2125197	0.900119027
502167	2125197	0.900447357
502267	2125197	0.900784624
502367	2125197	0.901130823
502467	2125197	0.901485949
502567	2125197	0.901849996
502667	2125197	0.902222959
502767	2125197	0.90260483
502867	2125197	0.902995603
502967	2125197	0.90339527
503067	2125197	0.903803823
503167	2125197	0.904221253
503267	2125197	0.904647551
503367	2125197	0.905082708
503467	2125197	0.905526713
503567	2125197	0.905979555
503667	2125197	0.906441224
503767	2125197	0.906911708
