x	y	error_coe_com_tot
505967	2124297	3.080396354
506067	2124297	3.085893217
506167	2124297	3.091406893
506267	2124297	3.09693729
506367	2124297	3.102484318
506467	2124297	3.108047887
506567	2124297	3.113627907
506667	2124297	3.11922429
503267	2124397	2.931245947
503367	2124397	2.93626592
503467	2124397	2.941305294
503567	2124397	2.946363969
503667	2124397	2.951441846
503767	2124397	2.956538824
503867	2124397	2.961654804
503967	2124397	2.966789687
504067	2124397	2.971943375
504167	2124397	2.977115768
504267	2124397	2.982306769
504367	2124397	2.987516279
504467	2124397	2.992744201
504567	2124397	2.997990439
504667	2124397	3.003254894
504767	2124397	3.008537471
504867	2124397	3.013838072
504967	2124397	3.019156603
505067	2124397	3.024492968
505167	2124397	3.029847072
505267	2124397	3.035218819
505367	2124397	3.040608115
505467	2124397	3.046014866
505567	2124397	3.051438979
505667	2124397	3.056880359
505767	2124397	3.062338914
505867	2124397	3.067814551
505967	2124397	3.073307178
506067	2124397	3.078816703
506167	2124397	3.084343034
506267	2124397	3.08988608
506367	2124397	3.09544575
506467	2124397	3.101021954
506567	2124397	3.106614602
503067	2124497	2.913816646
503167	2124497	2.918810195
503267	2124497	2.923823355
503367	2124497	2.928856025
503467	2124497	2.933908103
503567	2124497	2.938979489
503667	2124497	2.944070082
503767	2124497	2.949179782
503867	2124497	2.954308488
503967	2124497	2.959456102
504067	2124497	2.964622524
504167	2124497	2.969807654
504267	2124497	2.975011395
504367	2124497	2.980233647
504467	2124497	2.985474313
504567	2124497	2.990733295
504667	2124497	2.996010495
504767	2124497	3.001305817
504867	2124497	3.006619163
504967	2124497	3.011950438
505067	2124497	3.017299545
505167	2124497	3.022666388
505267	2124497	3.028050873
505367	2124497	3.033452904
505467	2124497	3.038872387
505567	2124497	3.044309227
505667	2124497	3.049763331
505767	2124497	3.055234605
505867	2124497	3.060722956
505967	2124497	3.066228291
506067	2124497	3.071750518
506167	2124497	3.077289545
506267	2124497	3.082845281
506367	2124497	3.088417633
506467	2124497	3.094006512
506567	2124497	3.099611826
502967	2124597	2.90139115
503067	2124597	2.90637771
503167	2124597	2.911383991
503267	2124597	2.916409891
503367	2124597	2.921455307
503467	2124597	2.926520139
503567	2124597	2.931604285
503667	2124597	2.936707643
503767	2124597	2.941830113
503867	2124597	2.946971594
503967	2124597	2.952131987
504067	2124597	2.957311191
504167	2124597	2.962509106
504267	2124597	2.967725633
504367	2124597	2.972960674
504467	2124597	2.97821413
