x	y	error_coe_com_inf
505467	2124397	0.665729384
505567	2124397	0.666960502
505667	2124397	0.668195005
505767	2124397	0.66943287
505867	2124397	0.670674076
505967	2124397	0.671918601
506067	2124397	0.673166424
506167	2124397	0.674417523
506267	2124397	0.675671878
506367	2124397	0.676929466
506467	2124397	0.678190268
506567	2124397	0.679454261
503067	2124497	0.635759856
503167	2124497	0.636905789
503267	2124497	0.638055661
503367	2124497	0.639209446
503467	2124497	0.64036712
503567	2124497	0.641528661
503667	2124497	0.642694043
503767	2124497	0.643863242
503867	2124497	0.645036236
503967	2124497	0.646213001
504067	2124497	0.647393512
504167	2124497	0.648577746
504267	2124497	0.64976568
504367	2124497	0.650957291
504467	2124497	0.652152555
504567	2124497	0.653351449
504667	2124497	0.65455395
504767	2124497	0.655760036
504867	2124497	0.656969682
504967	2124497	0.658182867
505067	2124497	0.659399568
505167	2124497	0.660619762
505267	2124497	0.661843427
505367	2124497	0.663070541
505467	2124497	0.664301081
505567	2124497	0.665535025
505667	2124497	0.666772351
505767	2124497	0.668013037
505867	2124497	0.669257061
505967	2124497	0.670504402
506067	2124497	0.671755038
506167	2124497	0.673008948
506267	2124497	0.67426611
506367	2124497	0.675526503
506467	2124497	0.676790105
506567	2124497	0.678056897
502967	2124597	0.633120641
503067	2124597	0.63426546
503167	2124597	0.635414242
503267	2124597	0.636566964
503367	2124597	0.6377236
503467	2124597	0.638884127
503567	2124597	0.64004852
503667	2124597	0.641216756
503767	2124597	0.64238881
503867	2124597	0.643564658
503967	2124597	0.644744277
504067	2124597	0.645927642
504167	2124597	0.64711473
504267	2124597	0.648305518
504367	2124597	0.649499982
504467	2124597	0.650698099
504567	2124597	0.651899844
504667	2124597	0.653105196
504767	2124597	0.654314131
504867	2124597	0.655526626
504967	2124597	0.656742658
505067	2124597	0.657962204
505167	2124597	0.659185242
505267	2124597	0.660411749
505367	2124597	0.661641703
505467	2124597	0.66287508
505567	2124597	0.66411186
505667	2124597	0.665352019
505767	2124597	0.666595536
505867	2124597	0.667842389
505967	2124597	0.669092556
506067	2124597	0.670346015
506167	2124597	0.671602745
506267	2124597	0.672862724
506367	2124597	0.67412593
506467	2124597	0.675392344
502667	2124697	0.628206426
502767	2124697	0.629342062
502867	2124697	0.630481737
502967	2124697	0.631625427
503067	2124697	0.632773106
503167	2124697	0.63392475
503267	2124697	0.635080334
503367	2124697	0.636239834
503467	2124697	0.637403226
503567	2124697	0.638570485
503667	2124697	0.639741586
503767	2124697	0.640916506
503867	2124697	0.64209522
503967	2124697	0.643277705
504067	2124697	0.644463937
504167	2124697	0.645653891
504267	2124697	0.646847544
504367	2124697	0.648044873
504467	2124697	0.649245853
504567	2124697	0.650450462
504667	2124697	0.651658676
504767	2124697	0.652870471
504867	2124697	0.654085826
504967	2124697	0.655304715
505067	2124697	0.656527118
505167	2124697	0.65775301
505267	2124697	0.65898237
505367	2124697	0.660215174
505467	2124697	0.6614514
505567	2124697	0.662691025
505667	2124697	0.663934028
505767	2124697	0.665180386
505867	2124697	0.666430078
505967	2124697	0.66768308
506067	2124697	0.668939372
506167	2124697	0.670198931
506267	2124697	0.671461737
506367	2124697	0.672727767
506467	2124697	0.673997
502367	2124797	0.623313632
502467	2124797	0.624439863
502567	2124797	0.62557021
502667	2124797	0.626704648
502767	2124797	0.627843152
502867	2124797	0.628985697
502967	2124797	0.630132258
503067	2124797	0.631282811
503167	2124797	0.632437329
503267	2124797	0.633595789
503367	2124797	0.634758165
503467	2124797	0.635924434
503567	2124797	0.63709457
503667	2124797	0.638268549
503767	2124797	0.639446347
503867	2124797	0.64062794
503967	2124797	0.641813303
504067	2124797	0.643002413
504167	2124797	0.644195245
504267	2124797	0.645391775
504367	2124797	0.64659198
504467	2124797	0.647795836
504567	2124797	0.649003319
504667	2124797	0.650214406
504767	2124797	0.651429073
504867	2124797	0.652647298
504967	2124797	0.653869057
505067	2124797	0.655094326
505167	2124797	0.656323084
505267	2124797	0.657555306
505367	2124797	0.658790971
505467	2124797	0.660030056
505567	2124797	0.661272538
505667	2124797	0.662518395
505767	2124797	0.663767604
505867	2124797	0.665020144
505967	2124797	0.666275992
506067	2124797	0.667535126
506167	2124797	0.668797525
506267	2124797	0.670063167
506367	2124797	0.67133203
506467	2124797	0.672604093
502267	2124897	0.620680284
502367	2124897	0.621805246
502467	2124897	0.622934351
502567	2124897	0.624067576
502667	2124897	0.625204893
502767	2124897	0.626346278
502867	2124897	0.627491706
502967	2124897	0.628641152
503067	2124897	0.62979459
503167	2124897	0.630951995
503267	2124897	0.632113343
503367	2124897	0.633278608
503467	2124897	0.634447767
503567	2124897	0.635620793
503667	2124897	0.636797663
503767	2124897	0.637978351
503867	2124897	0.639162835
503967	2124897	0.640351088
504067	2124897	0.641543088
504167	2124897	0.642738809
504267	2124897	0.643938228
504367	2124897	0.645141321
504467	2124897	0.646348063
504567	2124897	0.647558432
504667	2124897	0.648772404
504767	2124897	0.649989955
504867	2124897	0.651211061
504967	2124897	0.652435699
505067	2124897	0.653663847
505167	2124897	0.65489548
505267	2124897	0.656130577
505367	2124897	0.657369113
505467	2124897	0.658611067
505567	2124897	0.659856416
505667	2124897	0.661105137
505767	2124897	0.662357208
505867	2124897	0.663612606
505967	2124897	0.664871309
506067	2124897	0.666133296
506167	2124897	0.667398544
506267	2124897	0.668667032
506367	2124897	0.669938737
502167	2124997	0.618047336
502267	2124997	0.619171011
502367	2124997	0.620298859
502467	2124997	0.621430853
502567	2124997	0.622566967
502667	2124997	0.623707177
502767	2124997	0.624851457
502867	2124997	0.625999781
502967	2124997	0.627152124
503067	2124997	0.628308461
503167	2124997	0.629468766
503267	2124997	0.630633015
