x	y	car_pre_sup
504567	2124097	2.146204595
504667	2124097	2.1483519
504767	2124097	2.150526329
504867	2124097	2.152727841
504967	2124097	2.154956391
505067	2124097	2.157211935
505167	2124097	2.159494429
505267	2124097	2.161803826
505367	2124097	2.16414008
505467	2124097	2.166503144
505567	2124097	2.168892971
505667	2124097	2.17130951
505767	2124097	2.173752711
505867	2124097	2.176222525
505967	2124097	2.178718899
506067	2124097	2.18124178
506167	2124097	2.183791113
506267	2124097	2.186366845
506367	2124097	2.188968918
506467	2124097	2.191597275
506567	2124097	2.194251858
506667	2124097	2.196932605
506767	2124097	2.199639458
503467	2124197	2.117168195
503567	2124197	2.119020586
503667	2124197	2.120900603
503767	2124197	2.122808208
503867	2124197	2.124743362
503967	2124197	2.126706027
504067	2124197	2.128696164
504167	2124197	2.130713734
504267	2124197	2.132758698
504367	2124197	2.134831015
504467	2124197	2.136930646
504567	2124197	2.139057549
504667	2124197	2.141211684
504767	2124197	2.143393009
504867	2124197	2.145601482
504967	2124197	2.14783706
505067	2124197	2.150099699
505167	2124197	2.152389355
505267	2124197	2.154705982
505367	2124197	2.157049536
505467	2124197	2.15941997
505567	2124197	2.161817235
505667	2124197	2.164241284
505767	2124197	2.166692067
505867	2124197	2.169169533
505967	2124197	2.171673632
506067	2124197	2.174204311
506167	2124197	2.176761516
506267	2124197	2.179345192
506367	2124197	2.181955283
506467	2124197	2.184591733
506567	2124197	2.187254483
506667	2124197	2.189943474
503367	2124297	2.108126015
503467	2124297	2.109956853
503567	2124297	2.111815411
503667	2124297	2.113701653
503767	2124297	2.11561554
503867	2124297	2.117557036
503967	2124297	2.119526102
504067	2124297	2.121522701
504167	2124297	2.123546793
504267	2124297	2.125598341
504367	2124297	2.127677304
504467	2124297	2.129783644
504567	2124297	2.131917321
504667	2124297	2.134078294
504767	2124297	2.136266522
504867	2124297	2.138481964
504967	2124297	2.140724577
505067	2124297	2.142994319
505167	2124297	2.145291146
505267	2124297	2.147615013
505367	2124297	2.149965876
505467	2124297	2.152343689
505567	2124297	2.154748403
505667	2124297	2.157179973
505767	2124297	2.159638348
505867	2124297	2.16212348
505967	2124297	2.164635316
506067	2124297	2.167173806
506167	2124297	2.169738895
506267	2124297	2.172330531
506367	2124297	2.174948656
506467	2124297	2.177593215
506567	2124297	2.180264149
506667	2124297	2.1829614
503267	2124397	2.099106252
503367	2124397	2.100915393
503467	2124397	2.102752348
503567	2124397	2.10461708
503667	2124397	2.106509553
503767	2124397	2.10842973
503867	2124397	2.110377573
503967	2124397	2.112353047
504067	2124397	2.114356112
504167	2124397	2.116386733
504267	2124397	2.11844487
504367	2124397	2.120530486
504467	2124397	2.122643541
504567	2124397	2.124783997
504667	2124397	2.126951814
504767	2124397	2.129146952
504867	2124397	2.13136937
504967	2124397	2.133619026
505067	2124397	2.135895878
505167	2124397	2.138199884
505267	2124397	2.140530999
505367	2124397	2.14288918
505467	2124397	2.14527438
505567	2124397	2.147686554
505667	2124397	2.150125655
505767	2124397	2.152591633
505867	2124397	2.155084441
505967	2124397	2.157604027
506067	2124397	2.16015034
506167	2124397	2.162723328
506267	2124397	2.165322936
506367	2124397	2.16794911
506467	2124397	2.170601793
506567	2124397	2.173280928
503067	2124497	2.088349828
503167	2124497	2.09010919
503267	2124497	2.091896493
503367	2124497	2.093711701
503467	2124497	2.095554779
503567	2124497	2.097425691
503667	2124497	2.0993244
503767	2124497	2.101250871
503867	2124497	2.103205067
503967	2124497	2.105186953
504067	2124497	2.10719649
504167	2124497	2.109233644
504267	2124497	2.111298376
504367	2124497	2.113390649
504467	2124497	2.115510426
504567	2124497	2.117657667
504667	2124497	2.119832334
504767	2124497	2.122034387
504867	2124497	2.124263786
504967	2124497	2.126520491
505067	2124497	2.128804461
505167	2124497	2.131115652
505267	2124497	2.133454023
505367	2124497	2.135819529
505467	2124497	2.138212125
505567	2124497	2.140631767
505667	2124497	2.143078408
505767	2124497	2.145552
505867	2124497	2.148052494
505967	2124497	2.150579841
506067	2124497	2.153133989
506167	2124497	2.155714887
506267	2124497	2.158322482
506367	2124497	2.160956719
506467	2124497	2.163617541
506567	2124497	2.166304893
502967	2124597	2.079397815
503067	2124597	2.08113511
503167	2124597	2.082900436
503267	2124597	2.084693757
503367	2124597	2.086515038
503467	2124597	2.088364244
503567	2124597	2.09024134
503667	2124597	2.09214629
503767	2124597	2.09407906
503867	2124597	2.096039613
503967	2124597	2.098027915
504067	2124597	2.100043929
504167	2124597	2.10208762
504267	2124597	2.104158952
504367	2124597	2.106257886
504467	2124597	2.108384388
504567	2124597	2.110538418
504667	2124597	2.112719939
504767	2124597	2.114928913
504867	2124597	2.117165299
504967	2124597	2.119429059
505067	2124597	2.121720151
505167	2124597	2.124038534
505267	2124597	2.126384167
505367	2124597	2.128757005
505467	2124597	2.131157006
505567	2124597	2.133584124
505667	2124597	2.136038313
505767	2124597	2.138519527
505867	2124597	2.141027717
505967	2124597	2.143562835
506067	2124597	2.146124831
506167	2124597	2.148713651
506267	2124597	2.151329245
506367	2124597	2.153971558
506467	2124597	2.156640534
502667	2124697	2.067123505
502767	2124697	2.068782259
502867	2124697	2.0704692
502967	2124697	2.072184295
503067	2124697	2.073927507
503167	2124697	2.075698802
503267	2124697	2.077498146
503367	2124697	2.079325505
503467	2124697	2.081180843
503567	2124697	2.083064127
503667	2124697	2.084975322
