x	y	abat_2007_2002
504067	2124297	2.213419308
504167	2124297	2.030408003
504267	2124297	1.818192826
504367	2124297	1.586074224
504467	2124297	1.341236838
504567	2124297	1.090110821
504667	2124297	0.838931607
504767	2124297	0.593645485
504867	2124297	0.358564403
504967	2124297	0.134266864
505067	2124297	-0.081829645
505167	2124297	-0.292992857
505267	2124297	-0.501907991
505367	2124297	-0.710482812
505467	2124297	-0.920282167
505567	2124297	-1.133807333
505667	2124297	-1.356852333
505767	2124297	-1.600330148
505867	2124297	-1.874822588
505967	2124297	-2.178376985
506067	2124297	-2.499154919
506167	2124297	-2.827922424
506267	2124297	-3.16126569
506367	2124297	-3.499265337
506467	2124297	-3.842946347
506567	2124297	-4.191953068
506667	2124297	-4.541826066
503267	2124397	1.428855706
503367	2124397	1.669645889
503467	2124397	1.885631413
503567	2124397	2.067512847
503667	2124397	2.202402753
503767	2124397	2.27560898
503867	2124397	2.27672561
503967	2124397	2.206426431
504067	2124397	2.075515997
504167	2124397	1.897894512
504267	2124397	1.685898787
504367	2124397	1.449647932
504467	2124397	1.197934235
504567	2124397	0.939042871
504667	2124397	0.680904422
504767	2124397	0.430352945
504867	2124397	0.191640795
504967	2124397	-0.034769259
505067	2124397	-0.251783297
505167	2124397	-0.463859074
505267	2124397	-0.675221613
505367	2124397	-0.88890961
505467	2124397	-1.106741902
505567	2124397	-1.330092666
505667	2124397	-1.561107445
505767	2124397	-1.803144165
505867	2124397	-2.058747966
505967	2124397	-2.326687432
506067	2124397	-2.602767241
506167	2124397	-2.883464412
506267	2124397	-3.167717237
506367	2124397	-3.456391982
506467	2124397	-3.750998579
506567	2124397	-4.052305892
503067	2124497	0.939466075
503167	2124497	1.196438698
503267	2124497	1.435402045
503367	2124497	1.653089989
503467	2124497	1.843889203
503567	2124497	1.999533547
503667	2124497	2.109619867
503767	2124497	2.163670913
503867	2124497	2.15476767
503967	2124497	2.082628205
504067	2124497	1.953381503
504167	2124497	1.776546665
504267	2124497	1.562224655
504367	2124497	1.320065768
504467	2124497	1.059543447
504567	2124497	0.790497057
504667	2124497	0.523019942
504767	2124497	0.266063745
504867	2124497	0.025010134
504967	2124497	-0.200153084
505067	2124497	-0.414282226
505167	2124497	-0.624426471
505267	2124497	-0.836998661
505367	2124497	-1.056100444
505467	2124497	-1.283069931
505567	2124497	-1.516848709
505667	2124497	-1.754859917
505767	2124497	-1.994120869
505867	2124497	-2.232184571
505967	2124497	-2.467677281
506067	2124497	-2.700554349
506167	2124497	-2.932063914
506267	2124497	-3.164376603
506367	2124497	-3.400169872
506467	2124497	-3.642389777
506567	2124497	-3.894057236
502967	2124597	0.737398418
503067	2124597	0.995123063
503167	2124597	1.23224311
503267	2124597	1.449361752
503367	2124597	1.644641153
503467	2124597	1.813470769
