x	y	error_car_pre_tot
505267	2123997	1.582496718
505367	2123997	1.585676198
505467	2123997	1.58886815
505567	2123997	1.592072496
505667	2123997	1.595289159
505767	2123997	1.598518062
505867	2123997	1.601759127
505967	2123997	1.605012279
506067	2123997	1.60827744
506167	2123997	1.611554537
506267	2123997	1.614843492
506367	2123997	1.618144232
506467	2123997	1.621456681
506567	2123997	1.624780766
506667	2123997	1.628116411
506767	2123997	1.631463544
503567	2124097	1.525947989
503667	2124097	1.528912057
503767	2124097	1.531889975
503867	2124097	1.534881658
503967	2124097	1.537887024
504067	2124097	1.54090599
504167	2124097	1.543938473
504267	2124097	1.546984391
504367	2124097	1.550043662
504467	2124097	1.553116204
504567	2124097	1.556201936
504667	2124097	1.559300777
504767	2124097	1.562412646
504867	2124097	1.565537462
504967	2124097	1.568675146
505067	2124097	1.571825617
505167	2124097	1.574988795
505267	2124097	1.578164602
505367	2124097	1.581352959
505467	2124097	1.584553786
505567	2124097	1.587767007
505667	2124097	1.590992542
505767	2124097	1.594230315
505867	2124097	1.597480248
505967	2124097	1.600742264
506067	2124097	1.604016287
506167	2124097	1.60730224
506267	2124097	1.610600049
506367	2124097	1.613909637
506467	2124097	1.617230929
506567	2124097	1.62056385
506667	2124097	1.623908327
506767	2124097	1.627264286
503467	2124197	1.518512472
503567	2124197	1.521471457
503667	2124197	1.524444382
503767	2124197	1.527431165
503867	2124197	1.53043172
503967	2124197	1.533445965
504067	2124197	1.536473815
504167	2124197	1.539515188
504267	2124197	1.542570001
504367	2124197	1.545638171
504467	2124197	1.548719616
504567	2124197	1.551814254
504667	2124197	1.554922003
504767	2124197	1.558042783
504867	2124197	1.561176512
504967	2124197	1.564323109
505067	2124197	1.567482494
505167	2124197	1.570654587
505267	2124197	1.573839308
505367	2124197	1.577036579
505467	2124197	1.580246319
505567	2124197	1.58346845
505667	2124197	1.586702894
505767	2124197	1.589949572
505867	2124197	1.593208408
505967	2124197	1.596479324
506067	2124197	1.599762243
506167	2124197	1.603057088
506267	2124197	1.606363783
506367	2124197	1.609682253
506467	2124197	1.613012421
506567	2124197	1.616354213
506667	2124197	1.619707555
503367	2124297	1.511079405
503467	2124297	1.514033248
503567	2124297	1.517001124
503667	2124297	1.51998295
503767	2124297	1.522978639
503867	2124297	1.525988109
503967	2124297	1.529011273
504067	2124297	1.532048049
504167	2124297	1.535098353
504267	2124297	1.538162101
504367	2124297	1.541239211
504467	2124297	1.544329598
504567	2124297	1.547433182
504667	2124297	1.55054988
504767	2124297	1.553679609
504867	2124297	1.556822289
504967	2124297	1.559977839
505067	2124297	1.563146176
505167	2124297	1.566327222
505267	2124297	1.569520895
505367	2124297	1.572727116
505467	2124297	1.575945805
505567	2124297	1.579176883
505667	2124297	1.582420272
505767	2124297	1.585675892
505867	2124297	1.588943667
505967	2124297	1.592223517
506067	2124297	1.595515366
506167	2124297	1.598819138
506267	2124297	1.602134754
506367	2124297	1.605462139
506467	2124297	1.608801217
506567	2124297	1.612151913
506667	2124297	1.615514152
503267	2124397	1.503648826
503367	2124397	1.506597467
503467	2124397	1.509560237
503567	2124397	1.512537048
503667	2124397	1.515527816
503767	2124397	1.518532455
503867	2124397	1.521550881
503967	2124397	1.524583007
504067	2124397	1.527628751
504167	2124397	1.530688026
504267	2124397	1.533760751
504367	2124397	1.53684684
504467	2124397	1.53994621
504567	2124397	1.54305878
504667	2124397	1.546184465
504767	2124397	1.549323183
504867	2124397	1.552474854
504967	2124397	1.555639393
505067	2124397	1.558816722
505167	2124397	1.562006757
505267	2124397	1.56520942
505367	2124397	1.568424629
505467	2124397	1.571652304
505567	2124397	1.574892366
505667	2124397	1.578144735
505767	2124397	1.581409334
505867	2124397	1.584686082
505967	2124397	1.587974903
506067	2124397	1.591275717
506167	2124397	1.594588449
506267	2124397	1.59791302
506367	2124397	1.601249355
506467	2124397	1.604597377
506567	2124397	1.607957009
503067	2124497	1.493291706
503167	2124497	1.496220775
503267	2124497	1.499164154
503367	2124497	1.502121757
503467	2124497	1.505093496
503567	2124497	1.508079285
503667	2124497	1.511079039
503767	2124497	1.51409267
503867	2124497	1.517120094
503967	2124497	1.520161224
504067	2124497	1.523215976
504167	2124497	1.526284265
504267	2124497	1.529366006
504367	2124497	1.532461116
504467	2124497	1.53556951
504567	2124497	1.538691105
504667	2124497	1.541825817
504767	2124497	1.544973564
504867	2124497	1.548134263
504967	2124497	1.551307833
505067	2124497	1.55449419
505167	2124497	1.557693254
505267	2124497	1.560904943
505367	2124497	1.564129177
505467	2124497	1.567365875
505567	2124497	1.570614958
505667	2124497	1.573876345
505767	2124497	1.577149957
505867	2124497	1.580435715
505967	2124497	1.58373354
506067	2124497	1.587043355
506167	2124497	1.590365082
506267	2124497	1.593698643
506367	2124497	1.597043961
506467	2124497	1.600400959
506567	2124497	1.603769562
502967	2124597	1.485871643
503067	2124597	1.488795291
503167	2124597	1.491733346
