x	y	esp
503767	2124497	40.64181566
503867	2124497	42.57897444
503967	2124497	44.47781404
504067	2124497	46.27879046
504167	2124497	47.97095571
504267	2124497	49.56814162
504367	2124497	51.07977076
504467	2124497	52.51527491
504567	2124497	53.93890126
504667	2124497	55.37270923
504767	2124497	56.79702286
504867	2124497	58.19046072
504967	2124497	59.56182571
505067	2124497	60.89708506
505167	2124497	59.48327035
505267	2124497	55.00929701
505367	2124497	50.45769768
505467	2124497	45.86298378
505567	2124497	41.25582199
505667	2124497	36.66913173
505767	2124497	32.28431231
505867	2124497	28.26465431
505967	2124497	24.30219556
506067	2124497	20.39451973
506167	2124497	16.53519427
506267	2124497	12.71425839
506367	2124497	8.917452154
506467	2124497	5.130946979
506567	2124497	1.349396604
502967	2124597	26.78888391
503067	2124597	28.61963719
503167	2124597	30.6315969
503267	2124597	32.74748125
503367	2124597	34.89827999
503467	2124597	37.02690434
503567	2124597	39.060528
503667	2124597	40.99549967
503767	2124597	42.87300789
503867	2124597	44.74189239
503967	2124597	46.61635469
504067	2124597	48.3722729
504167	2124597	50.00167379
504267	2124597	51.53702649
504367	2124597	52.98693082
504467	2124597	54.33424199
504567	2124597	55.71183281
504667	2124597	57.14151061
504767	2124597	58.57267624
504867	2124597	59.95436353
504967	2124597	61.31981417
505067	2124597	62.63584618
505167	2124597	58.45641499
505267	2124597	53.9654332
505367	2124597	49.38021834
505467	2124597	44.72783537
505567	2124597	40.04942387
505667	2124597	35.3861332
505767	2124597	31.0470283
505867	2124597	26.95640502
505967	2124597	22.9188521
506067	2124597	18.93253244
506167	2124597	14.99142767
506267	2124597	11.08757318
506367	2124597	7.208569481
506467	2124597	3.345205709
502667	2124697	24.10093383
502767	2124697	26.07242021
502867	2124697	27.9346075
502967	2124697	29.74489763
503067	2124697	31.62320555
503167	2124697	33.58081382
503267	2124697	35.59336025
503367	2124697	37.64162777
503467	2124697	39.69212906
503567	2124697	41.62504672
503667	2124697	43.43634999
503767	2124697	45.18373219
503867	2124697	46.94138932
503967	2124697	48.75438207
504067	2124697	50.47093991
504167	2124697	52.05268925
504267	2124697	53.52118035
504367	2124697	54.88484472
504467	2124697	56.15208787
504567	2124697	57.50369334
504667	2124697	58.93898878
504767	2124697	60.3720324
504867	2124697	61.71438163
504967	2124697	63.06245174
505067	2124697	61.79141211
505167	2124697	57.41676642
505267	2124697	52.91428235
505367	2124697	48.28584646
505467	2124697	43.56359403
505567	2124697	38.80535253
505667	2124697	34.06154221
505767	2124697	29.77509072
505867	2124697	25.61695845
505967	2124697	21.50899464
506067	2124697	17.44859428
506167	2124697	13.4303978
