x	y	tasa_hundim
505067	2124097	-0.0919865
505167	2124097	-0.088983
505267	2124097	-0.080589
505367	2124097	-0.0833393
505467	2124097	-0.0832494
505567	2124097	-0.0770186
505667	2124097	-0.0592789
505767	2124097	-0.0657582
505867	2124097	-0.0699359
505967	2124097	-0.0735343
506067	2124097	-0.069005
506167	2124097	-0.0685621
506267	2124097	-0.089667
506367	2124097	-0.0989754
506467	2124097	-0.1083362
506567	2124097	-0.1454663
506667	2124097	-0.1409272
506767	2124097	-0.1473507
503467	2124197	-0.0464077
503567	2124197	-0.058064
503667	2124197	-0.0758383
503767	2124197	-0.078089
503867	2124197	-0.070897
503967	2124197	-0.0845848
504067	2124197	-0.0922215
504167	2124197	-0.0794806
504267	2124197	-0.0724304
504367	2124197	-0.0730054
504467	2124197	-0.0760368
504567	2124197	-0.0615694
504667	2124197	-0.0581006
504767	2124197	-0.0851165
504867	2124197	-0.0955867
504967	2124197	-0.123888
505067	2124197	-0.0998266
505167	2124197	-0.0968316
505267	2124197	-0.0904831
505367	2124197	-0.0927794
505467	2124197	-0.093269
505567	2124197	-0.0852321
505667	2124197	-0.0785477
505767	2124197	-0.076178
505867	2124197	-0.0798962
505967	2124197	-0.0818873
506067	2124197	-0.076955
506167	2124197	-0.0810662
506267	2124197	-0.0926028
506367	2124197	-0.1061221
506467	2124197	-0.1357433
506567	2124197	-0.1603059
506667	2124197	-0.1611237
503367	2124297	-0.0482635
503467	2124297	-0.0575757
503567	2124297	-0.0564777
503667	2124297	-0.0771281
503767	2124297	-0.0774751
503867	2124297	-0.0669351
503967	2124297	-0.0828492
504067	2124297	-0.0943268
504167	2124297	-0.0912041
504267	2124297	-0.084038
504367	2124297	-0.0850145
504467	2124297	-0.0700314
504567	2124297	-0.0682193
504667	2124297	-0.0632368
504767	2124297	-0.0815127
504867	2124297	-0.0965998
504967	2124297	-0.098438
505067	2124297	-0.1041743
505167	2124297	-0.0961919
505267	2124297	-0.0977282
505367	2124297	-0.0881679
505467	2124297	-0.0953183
505567	2124297	-0.0875519
505667	2124297	-0.0922885
505767	2124297	-0.0921562
505867	2124297	-0.0964479
505967	2124297	-0.0913523
506067	2124297	-0.0935508
506167	2124297	-0.1008096
506267	2124297	-0.1170013
506367	2124297	-0.1213961
506467	2124297	-0.1486582
506567	2124297	-0.1626487
506667	2124297	-0.1752179
503267	2124397	-0.0685615
503367	2124397	-0.0641934
503467	2124397	-0.0624596
503567	2124397	-0.0642043
503667	2124397	-0.0569115
503767	2124397	-0.0882678
503867	2124397	-0.0819929
503967	2124397	-0.0823011
504067	2124397	-0.0972719
504167	2124397	-0.0964924
504267	2124397	-0.0964805
504367	2124397	-0.098211
504467	2124397	-0.1052347
504567	2124397	-0.0954082
504667	2124397	-0.093961
504767	2124397	-0.0866169
504867	2124397	-0.0844594
504967	2124397	-0.0967829
505067	2124397	-0.1166757
505167	2124397	-0.127993
