x	y	car_pre_tot
505467	2124497	5.47927954
505567	2124497	5.49032283
505667	2124497	5.501407662
505767	2124497	5.512533786
505867	2124497	5.523700951
505967	2124497	5.534908907
506067	2124497	5.546157405
506167	2124497	5.557446199
506267	2124497	5.568775042
506367	2124497	5.580143689
506467	2124497	5.591551897
506567	2124497	5.602999424
502967	2124597	5.201910303
503067	2124597	5.211859693
503167	2124597	5.221857285
503267	2124597	5.231902801
503367	2124597	5.241995965
503467	2124597	5.252136498
503567	2124597	5.262324127
503667	2124597	5.272558577
503767	2124597	5.282839573
503867	2124597	5.293166843
503967	2124597	5.303540116
504067	2124597	5.313959119
504167	2124597	5.324423583
504267	2124597	5.334933239
504367	2124597	5.345487819
504467	2124597	5.356087056
504567	2124597	5.366730683
504667	2124597	5.377418436
504767	2124597	5.388150051
504867	2124597	5.398925264
504967	2124597	5.409743813
505067	2124597	5.420605439
505167	2124597	5.43150988
505267	2124597	5.442456878
505367	2124597	5.453446177
505467	2124597	5.464477518
505567	2124597	5.475550647
505667	2124597	5.486665309
505767	2124597	5.497821252
505867	2124597	5.509018223
505967	2124597	5.520255972
506067	2124597	5.531534249
506167	2124597	5.542852806
506267	2124597	5.554211395
506367	2124597	5.56560977
506467	2124597	5.577047686
502667	2124697	5.156739491
502767	2124697	5.166572221
502867	2124697	5.176454026
502967	2124697	5.186384626
503067	2124697	5.196363738
503167	2124697	5.206391082
503267	2124697	5.216466377
503367	2124697	5.226589346
503467	2124697	5.236759709
503567	2124697	5.24697719
503667	2124697	5.257241512
503767	2124697	5.267552399
503867	2124697	5.277909577
503967	2124697	5.288312773
504067	2124697	5.298761713
504167	2124697	5.309256126
504267	2124697	5.319795741
504367	2124697	5.330380289
504467	2124697	5.341009501
504567	2124697	5.351683109
504667	2124697	5.362400846
504767	2124697	5.373162447
504867	2124697	5.383967647
504967	2124697	5.394816184
505067	2124697	5.405707794
505167	2124697	5.416642216
505267	2124697	5.42761919
505367	2124697	5.438638458
505467	2124697	5.449699761
505567	2124697	5.460802842
505667	2124697	5.471947447
505767	2124697	5.48313332
505867	2124697	5.494360208
505967	2124697	5.50562786
506067	2124697	5.516936023
506167	2124697	5.52828445
506267	2124697	5.53967289
506367	2124697	5.551101097
506467	2124697	5.562568825
502367	2124797	5.111855758
502467	2124797	5.121569206
502567	2124797	5.131332621
502667	2124797	5.141145717
502767	2124797	5.151008209
502867	2124797	5.160919812
502967	2124797	5.170880241
503067	2124797	5.180889214
503167	2124797	5.190946447
503267	2124797	5.201051658
503367	2124797	5.211204568
503467	2124797	5.221404895
503567	2124797	5.231652362
503667	2124797	5.241946689
503767	2124797	5.252287599
503867	2124797	5.262674816
503967	2124797	5.273108065
504067	2124797	5.283587071
504167	2124797	5.294111562
504267	2124797	5.304681263
504367	2124797	5.315295905
504467	2124797	5.325955216
504567	2124797	5.336658928
504667	2124797	5.347406772
504767	2124797	5.358198482
504867	2124797	5.369033791
504967	2124797	5.379912433
505067	2124797	5.390834147
505167	2124797	5.401798668
505267	2124797	5.412805735
505367	2124797	5.423855087
505467	2124797	5.434946467
505567	2124797	5.446079614
505667	2124797	5.457254273
505767	2124797	5.468470187
505867	2124797	5.479727103
505967	2124797	5.491024766
506067	2124797	5.502362925
506167	2124797	5.513741328
506267	2124797	5.525159726
506367	2124797	5.536617871
506467	2124797	5.548115514
502267	2124897	5.086500612
502367	2124897	5.096193554
502467	2124897	5.105936793
502567	2124897	5.115730039
502667	2124897	5.125573004
502767	2124897	5.135465401
502867	2124897	5.145406941
502967	2124897	5.15539734
503067	2124897	5.165436312
503167	2124897	5.175523572
503267	2124897	5.185658837
503367	2124897	5.195841824
503467	2124897	5.206072251
503567	2124897	5.216349837
503667	2124897	5.226674303
503767	2124897	5.237045369
503867	2124897	5.247462756
503967	2124897	5.257926189
504067	2124897	5.26843539
504167	2124897	5.278990086
504267	2124897	5.289590001
504367	2124897	5.300234862
504467	2124897	5.310924399
504567	2124897	5.32165834
504667	2124897	5.332436414
504767	2124897	5.343258354
504867	2124897	5.354123892
504967	2124897	5.365032762
505067	2124897	5.375984697
505167	2124897	5.386979435
505267	2124897	5.398016711
505367	2124897	5.409096265
505467	2124897	5.420217835
505567	2124897	5.431381162
505667	2124897	5.442585988
505767	2124897	5.453832055
505867	2124897	5.465119108
505967	2124897	5.476446892
506067	2124897	5.487815154
506167	2124897	5.499223641
506267	2124897	5.510672103
506367	2124897	5.52216029
502167	2124997	5.061157125
502267	2124997	5.070829333
502367	2124997	5.08055217
502467	2124997	5.090325345
502567	2124997	5.100148566
502667	2124997	5.110021543
502767	2124997	5.119943986
502867	2124997	5.129915606
502967	2124997	5.139936115
503067	2124997	5.150005226
503167	2124997	5.160122652
503267	2124997	5.170288108
503367	2124997	5.180501309
503467	2124997	5.190761972
503567	2124997	5.201069813
503667	2124997	5.21142455
503767	2124997	5.221825904
503867	2124997	5.232273594
503967	2124997	5.242767341
504067	2124997	5.253306868
504167	2124997	5.263891897
504267	2124997	5.274522153
504367	2124997	5.285197362
504467	2124997	5.295917249
504567	2124997	5.306681542
504667	2124997	5.317489971
504767	2124997	5.328342264
504867	2124997	5.339238152
504967	2124997	5.350177368
505067	2124997	5.361159645
505167	2124997	5.372184717
