x	y	error_car_pre_sup
506567	2124397	0.654027898
503067	2124497	0.628491427
503167	2124497	0.629015112
503267	2124497	0.629547515
503367	2124497	0.630088633
503467	2124497	0.63063846
503567	2124497	0.631196992
503667	2124497	0.631764223
503767	2124497	0.632340147
503867	2124497	0.632924759
503967	2124497	0.633518051
504067	2124497	0.634120017
504167	2124497	0.634730649
504267	2124497	0.635349941
504367	2124497	0.635977885
504467	2124497	0.636614472
504567	2124497	0.637259694
504667	2124497	0.637913542
504767	2124497	0.638576007
504867	2124497	0.639247079
504967	2124497	0.639926747
505067	2124497	0.640615003
505167	2124497	0.641311834
505267	2124497	0.642017229
505367	2124497	0.642731178
505467	2124497	0.643453666
505567	2124497	0.644184683
505667	2124497	0.644924214
505767	2124497	0.645672247
505867	2124497	0.646428767
505967	2124497	0.647193759
506067	2124497	0.64796721
506167	2124497	0.648749104
506267	2124497	0.649539424
506367	2124497	0.650338155
506467	2124497	0.651145279
506567	2124497	0.65196078
502967	2124597	0.625853662
503067	2124597	0.626369685
503167	2124597	0.62689446
503267	2124597	0.627427984
503367	2124597	0.627970251
503467	2124597	0.628521257
503567	2124597	0.629080998
503667	2124597	0.629649467
503767	2124597	0.630226659
503867	2124597	0.630812568
503967	2124597	0.631407188
504067	2124597	0.632010511
504167	2124597	0.632622532
504267	2124597	0.633243243
504367	2124597	0.633872635
504467	2124597	0.634510702
504567	2124597	0.635157435
504667	2124597	0.635812824
504767	2124597	0.636476861
504867	2124597	0.637149536
504967	2124597	0.63783084
505067	2124597	0.638520761
505167	2124597	0.639219289
505267	2124597	0.639926412
505367	2124597	0.64064212
505467	2124597	0.6413664
505567	2124597	0.64209924
505667	2124597	0.642840625
505767	2124597	0.643590544
505867	2124597	0.644348982
505967	2124597	0.645115925
506067	2124597	0.645891357
506167	2124597	0.646675264
506267	2124597	0.647467629
506367	2124597	0.648268436
506467	2124597	0.649077669
502667	2124697	0.62223391
502767	2124697	0.622724627
502867	2124697	0.623224137
502967	2124697	0.623732435
503067	2124697	0.624249519
503167	2124697	0.624775384
503267	2124697	0.625310027
503367	2124697	0.625853442
503467	2124697	0.626405627
503567	2124697	0.626966575
503667	2124697	0.627536281
503767	2124697	0.628114741
503867	2124697	0.628701947
503967	2124697	0.629297895
504067	2124697	0.629902577
504167	2124697	0.630515986
504267	2124697	0.631138116
504367	2124697	0.631768959
504467	2124697	0.632408507
504567	2124697	0.633056751
504667	2124697	0.633713683
504767	2124697	0.634379294
504867	2124697	0.635053575
504967	2124697	0.635736515
505067	2124697	0.636428104
505167	2124697	0.637128332
505267	2124697	0.637837188
505367	2124697	0.638554659
505467	2124697	0.639280734
505567	2124697	0.6400154
505667	2124697	0.640758645
505767	2124697	0.641510454
505867	2124697	0.642270815
505967	2124697	0.643039712
506067	2124697	0.643817132
506167	2124697	0.644603057
506267	2124697	0.645397474
506367	2124697	0.646200364
506467	2124697	0.647011712
502367	2124797	0.618689161
502467	2124797	0.619154371
502567	2124797	0.61962841
502667	2124797	0.620111276
502767	2124797	0.620602965
502867	2124797	0.621103475
502967	2124797	0.621612803
503067	2124797	0.622130946
503167	2124797	0.622657899
503267	2124797	0.62319366
503367	2124797	0.623738223
503467	2124797	0.624291584
503567	2124797	0.624853739
503667	2124797	0.625424682
503767	2124797	0.626004409
503867	2124797	0.626592913
503967	2124797	0.627190188
504067	2124797	0.627796228
504167	2124797	0.628411027
504267	2124797	0.629034576
504367	2124797	0.62966687
504467	2124797	0.6303079
504567	2124797	0.630957657
504667	2124797	0.631616134
504767	2124797	0.632283321
504867	2124797	0.632959209
504967	2124797	0.633643788
505067	2124797	0.634337048
505167	2124797	0.635038979
505267	2124797	0.635749569
505367	2124797	0.636468806
505467	2124797	0.63719668
505567	2124797	0.637933177
505667	2124797	0.638678285
505767	2124797	0.63943199
505867	2124797	0.640194278
505967	2124797	0.640965136
506067	2124797	0.641744548
506167	2124797	0.642532498
506267	2124797	0.643328972
506367	2124797	0.644133952
506467	2124797	0.644947422
502267	2124897	0.616108173
502367	2124897	0.616565408
502467	2124897	0.617031502
502567	2124897	0.617506453
502667	2124897	0.617990259
502767	2124897	0.618482918
502867	2124897	0.618984427
502967	2124897	0.619494783
503067	2124897	0.620013982
503167	2124897	0.620542022
503267	2124897	0.621078898
503367	2124897	0.621624607
503467	2124897	0.622179145
503567	2124897	0.622742505
503667	2124897	0.623314685
503767	2124897	0.623895678
503867	2124897	0.624485479
503967	2124897	0.625084082
504067	2124897	0.62569148
504167	2124897	0.626307668
504267	2124897	0.626932638
504367	2124897	0.627566383
504467	2124897	0.628208896
504567	2124897	0.628860167
504667	2124897	0.62952019
504767	2124897	0.630188954
504867	2124897	0.630866452
504967	2124897	0.631552672
505067	2124897	0.632247606
505167	2124897	0.632951242
505267	2124897	0.633663569
505367	2124897	0.634384577
