x	y	error_car_pre_dur
505967	2123897	1.626716324
506067	2123897	1.629386617
506167	2123897	1.632065953
506267	2123897	1.634754284
506367	2123897	1.637451563
506467	2123897	1.640157741
506567	2123897	1.642872772
506667	2123897	1.645596609
506767	2123897	1.648329205
503667	2123997	1.563993716
503767	2123997	1.566448598
503867	2123997	1.568913712
503967	2123997	1.571389002
504067	2123997	1.573874414
504167	2123997	1.576369892
504267	2123997	1.578875381
504367	2123997	1.581390828
504467	2123997	1.583916178
504567	2123997	1.586451378
504667	2123997	1.588996374
504767	2123997	1.591551114
504867	2123997	1.594115544
504967	2123997	1.596689612
505067	2123997	1.599273267
505167	2123997	1.601866457
505267	2123997	1.60446913
505367	2123997	1.607081236
505467	2123997	1.609702723
505567	2123997	1.612333541
505667	2123997	1.614973639
505767	2123997	1.61762297
505867	2123997	1.620281481
505967	2123997	1.622949126
506067	2123997	1.625625854
506167	2123997	1.628311617
506267	2123997	1.631006367
506367	2123997	1.633710056
506467	2123997	1.636422636
506567	2123997	1.639144059
506667	2123997	1.64187428
506767	2123997	1.644613251
503567	2124097	1.557631096
503667	2124097	1.560082301
503767	2124097	1.56254379
503867	2124097	1.565015506
503967	2124097	1.567497394
504067	2124097	1.569989397
504167	2124097	1.572491462
504267	2124097	1.575003532
504367	2124097	1.577525554
504467	2124097	1.580057473
504567	2124097	1.582599235
504667	2124097	1.585150788
504767	2124097	1.587712078
504867	2124097	1.590283051
504967	2124097	1.592863656
505067	2124097	1.595453841
505167	2124097	1.598053553
505267	2124097	1.600662741
505367	2124097	1.603281353
505467	2124097	1.60590934
505567	2124097	1.60854665
505667	2124097	1.611193233
505767	2124097	1.613849039
505867	2124097	1.616514019
505967	2124097	1.619188123
506067	2124097	1.621871302
506167	2124097	1.624563508
506267	2124097	1.627264691
506367	2124097	1.629974805
506467	2124097	1.632693801
506567	2124097	1.635421632
506667	2124097	1.638158251
506767	2124097	1.640903611
503467	2124197	1.551271364
503567	2124197	1.553718868
503667	2124197	1.556176706
503767	2124197	1.558644823
503867	2124197	1.561123162
503967	2124197	1.563611668
504067	2124197	1.566110283
504167	2124197	1.568618954
504267	2124197	1.571137625
504367	2124197	1.573666242
504467	2124197	1.576204749
504567	2124197	1.578753094
504667	2124197	1.581311222
504767	2124197	1.58387908
504867	2124197	1.586456615
504967	2124197	1.589043775
505067	2124197	1.591640507
505167	2124197	1.594246758
505267	2124197	1.596862479
505367	2124197	1.599487616
505467	2124197	1.602122119
505567	2124197	1.604765938
505667	2124197	1.607419021
505767	2124197	1.61008132
505867	2124197	1.612752783
505967	2124197	1.615433362
506067	2124197	1.618123008
506167	2124197	1.620821671
506267	2124197	1.623529304
506367	2124197	1.626245858
506467	2124197	1.628971285
506567	2124197	1.631705537
506667	2124197	1.634448568
503367	2124297	1.544914549
503467	2124297	1.547358324
503567	2124297	1.549812487
503667	2124297	1.55227698
503767	2124297	1.554751746
503867	2124297	1.557236729
503967	2124297	1.559731873
504067	2124297	1.562237122
504167	2124297	1.564752419
504267	2124297	1.567277711
504367	2124297	1.569812941
504467	2124297	1.572358057
504567	2124297	1.574913002
504667	2124297	1.577477724
504767	2124297	1.58005217
504867	2124297	1.582636285
504967	2124297	1.585230017
505067	2124297	1.587833314
505167	2124297	1.590446123
505267	2124297	1.593068393
505367	2124297	1.595700071
505467	2124297	1.598341108
505567	2124297	1.600991452
505667	2124297	1.603651052
505767	2124297	1.606319858
505867	2124297	1.608997821
505967	2124297	1.611684891
506067	2124297	1.614381019
506167	2124297	1.617086155
506267	2124297	1.619800251
506367	2124297	1.62252326
506467	2124297	1.625255132
506567	2124297	1.62799582
506667	2124297	1.630745277
503267	2124397	1.538560679
503367	2124397	1.541000699
503467	2124397	1.54345116
503567	2124397	1.545912004
503667	2124397	1.548383173
503767	2124397	1.55086461
503867	2124397	1.553356258
503967	2124397	1.55585806
504067	2124397	1.558369962
504167	2124397	1.560891906
504267	2124397	1.563423838
504367	2124397	1.565965702
504467	2124397	1.568517445
504567	2124397	1.57107901
504667	2124397	1.573650345
504767	2124397	1.576231396
504867	2124397	1.578822109
504967	2124397	1.581422431
505067	2124397	1.584032311
505167	2124397	1.586651695
505267	2124397	1.589280531
505367	2124397	1.591918768
505467	2124397	1.594566355
505567	2124397	1.59722324
505667	2124397	1.599889373
505767	2124397	1.602564703
505867	2124397	1.605249181
505967	2124397	1.607942758
506067	2124397	1.610645382
506167	2124397	1.613357006
506267	2124397	1.616077581
506367	2124397	1.618807058
506467	2124397	1.621545389
506567	2124397	1.624292527
503067	2124497	1.529784096
503167	2124497	1.532209782
503267	2124497	1.534646022
503367	2124497	1.537092755
503467	2124497	1.539549924
503567	2124497	1.54201747
503667	2124497	1.544495336
503767	2124497	1.546983464
503867	2124497	1.549481798
503967	2124497	1.55199028
504067	2124497	1.554508854
504167	2124497	1.557037465
504267	2124497	1.559576057
504367	2124497	1.562124575
504467	2124497	1.564682963
504567	2124497	1.567251167
504667	2124497	1.569829133
504767	2124497	1.572416808
504867	2124497	1.575014137
504967	2124497	1.577621068
505067	2124497	1.580237547
505167	2124497	1.582863523
505267	2124497	1.585498942
505367	2124497	1.588143755
