x	y	error_coe_com_dur
504267	2124997	0.298080245
504367	2124997	0.298680281
504467	2124997	0.299283193
504567	2124997	0.299888963
504667	2124997	0.300497573
504767	2124997	0.301109006
504867	2124997	0.301723243
504967	2124997	0.302340266
505067	2124997	0.302960058
505167	2124997	0.303582602
505267	2124997	0.304207879
505367	2124997	0.304835872
505467	2124997	0.305466564
505567	2124997	0.306099936
505667	2124997	0.306735973
505767	2124997	0.307374655
505867	2124997	0.308015967
505967	2124997	0.308659892
506067	2124997	0.309306411
506167	2124997	0.309955509
506267	2124997	0.310607167
506367	2124997	0.311261371
502067	2125097	0.284710185
502167	2125097	0.285244027
502267	2125097	0.285781159
502367	2125097	0.286321562
502467	2125097	0.286865218
502567	2125097	0.287412107
502667	2125097	0.28796221
502767	2125097	0.288515508
502867	2125097	0.289071983
502967	2125097	0.289631615
503067	2125097	0.290194385
503167	2125097	0.290760274
503267	2125097	0.291329265
503367	2125097	0.291901337
503467	2125097	0.292476472
503567	2125097	0.293054652
503667	2125097	0.293635857
503767	2125097	0.294220069
503867	2125097	0.29480727
503967	2125097	0.295397441
504067	2125097	0.295990563
504167	2125097	0.296586618
504267	2125097	0.297185588
504367	2125097	0.297787454
504467	2125097	0.298392198
504567	2125097	0.298999802
504667	2125097	0.299610247
504767	2125097	0.300223516
504867	2125097	0.300839591
504967	2125097	0.301458454
505067	2125097	0.302080086
505167	2125097	0.302704471
505267	2125097	0.303331589
505367	2125097	0.303961424
505467	2125097	0.304593959
505567	2125097	0.305229174
505667	2125097	0.305867054
505767	2125097	0.30650758
505867	2125097	0.307150735
505967	2125097	0.307796503
506067	2125097	0.308444866
506167	2125097	0.309095806
506267	2125097	0.309749308
506367	2125097	0.310405353
501967	2125197	0.283244787
502067	2125197	0.283777079
502167	2125197	0.284312686
502267	2125197	0.284851588
502367	2125197	0.285393767
502467	2125197	0.285939203
502567	2125197	0.286487876
502667	2125197	0.287039768
502767	2125197	0.28759486
502867	2125197	0.288153132
502967	2125197	0.288714565
503067	2125197	0.28927914
503167	2125197	0.289846838
503267	2125197	0.29041764
503367	2125197	0.290991527
503467	2125197	0.291568481
503567	2125197	0.292148482
503667	2125197	0.292731511
503767	2125197	0.29331755
503867	2125197	0.29390658
503967	2125197	0.294498582
504067	2125197	0.295093538
504167	2125197	0.295691429
504267	2125197	0.296292237
504367	2125197	0.296895942
504467	2125197	0.297502528
504567	2125197	0.298111974
504667	2125197	0.298724264
504767	2125197	0.299339379
504867	2125197	0.299957301
504967	2125197	0.300578011
505067	2125197	0.301201492
