x	y	error_coe_com_sup
503467	2124997	0.85947119
503567	2124997	0.856640315
503667	2124997	0.853837393
503767	2124997	0.851062964
503867	2124997	0.848317564
503967	2124997	0.845601721
504067	2124997	0.842915963
504167	2124997	0.84026081
504267	2124997	0.837636778
504367	2124997	0.835044377
504467	2124997	0.832484111
504567	2124997	0.829956478
504667	2124997	0.827461969
504767	2124997	0.825001069
504867	2124997	0.822574255
504967	2124997	0.820181996
505067	2124997	0.817824755
505167	2124997	0.815502984
505267	2124997	0.813217129
505367	2124997	0.810967625
505467	2124997	0.8087549
505567	2124997	0.80657937
505667	2124997	0.804441444
505767	2124997	0.802341517
505867	2124997	0.800279978
505967	2124997	0.798257202
506067	2124997	0.796273554
506167	2124997	0.794329387
506267	2124997	0.792425044
506367	2124997	0.790560854
502067	2125097	0.898895311
502167	2125097	0.895702473
502267	2125097	0.892529892
502367	2125097	0.889378143
502467	2125097	0.886247801
502567	2125097	0.883139441
502667	2125097	0.880053638
502767	2125097	0.876990963
502867	2125097	0.873951989
502967	2125097	0.870937285
503067	2125097	0.867947419
503167	2125097	0.864982958
503267	2125097	0.862044466
503367	2125097	0.859132503
503467	2125097	0.856247628
503567	2125097	0.853390396
503667	2125097	0.850561359
503767	2125097	0.847761066
503867	2125097	0.84499006
503967	2125097	0.842248882
504067	2125097	0.839538066
504167	2125097	0.836858143
504267	2125097	0.834209637
504367	2125097	0.831593068
504467	2125097	0.82900895
504567	2125097	0.826457788
504667	2125097	0.823940085
504767	2125097	0.821456333
504867	2125097	0.819007018
504967	2125097	0.816592619
505067	2125097	0.814213606
505167	2125097	0.811870442
505267	2125097	0.80956358
505367	2125097	0.807293465
505467	2125097	0.805060531
505567	2125097	0.802865204
505667	2125097	0.8007079
505767	2125097	0.798589022
505867	2125097	0.796508967
505967	2125097	0.794468116
506067	2125097	0.792466841
506167	2125097	0.790505504
506267	2125097	0.788584453
506367	2125097	0.786704023
501967	2125197	0.899305475
502067	2125197	0.896063757
502167	2125197	0.89284183
502267	2125197	0.889640278
502367	2125197	0.886459686
502467	2125197	0.883300636
502567	2125197	0.880163713
502667	2125197	0.877049498
502767	2125197	0.873958572
502867	2125197	0.870891516
502967	2125197	0.867848909
503067	2125197	0.864831328
503167	2125197	0.861839347
503267	2125197	0.858873541
503367	2125197	0.855934478
503467	2125197	0.853022727
